Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
549.0482179379011,7222,7.538622129436326
758.554505249458,66767,69.69415448851774
968.0607925610149,59223,61.81941544885177
1177.5670798725719,36316,37.90814196242171
1387.0733671841285,23480,24.50939457202505
1596.5796544956856,19145,19.984342379958246
1806.0859418072423,16761,17.49582463465553
2015.5922291187994,16585,17.312108559498956
2225.098516430356,15700,16.38830897703549
2434.604803741913,13038,13.609603340292276
2644.11109105347,12186,12.720250521920669
2853.617378365027,11753,12.268267223382045
3063.1236656765836,11354,11.851774530271399
3272.6299529881403,11032,11.515657620041754
3482.1362402996974,10488,10.947807933194154
3691.6425276112545,10045,10.485386221294362
3901.148814922811,9991,10.42901878914405
4110.655102234368,9539,9.957202505219207
4320.161389545925,9200,9.603340292275574
4529.667676857483,9144,9.544885177453027
4739.173964169039,8782,9.167014613778706
4948.680251480596,8436,8.805845511482255
5158.186538792153,8420,8.789144050104385
5367.69282610371,8138,8.494780793319416
5577.199113415267,7993,8.343423799582464
5786.705400726823,7726,8.064718162839249
5996.21168803838,7884,8.22964509394572
6205.717975349938,7574,7.906054279749478
6415.224262661494,7380,7.703549060542797
6624.730549973051,7302,7.622129436325679
6834.236837284609,7218,7.534446764091858
7043.743124596165,7289,7.608559498956159
7253.249411907722,7311,7.6315240083507305
7462.7556992192785,7262,7.580375782881002
7672.261986530835,7317,7.637787056367432
7881.768273842393,7489,7.817327766179541
8091.274561153949,7624,7.958246346555324
8300.780848465505,7960,8.308977035490605
8510.287135777064,8069,8.422755741127348
8719.79342308862,8381,8.748434237995825
8929.299710400177,8254,8.615866388308977
9138.805997711734,8188,8.54697286012526
9348.31228502329,8223,8.583507306889352
9557.818572334847,8216,8.576200417536535
9767.324859646405,8232,8.592901878914406
9976.831146957962,8387,8.754697286012526
10186.337434269519,7964,8.313152400835072
10395.843721581075,7629,7.963465553235908
10605.350008892632,7635,7.969728601252609
10814.856296204189,7487,7.815240083507307
11024.362583515745,7524,7.853862212943633
11233.868870827302,7548,7.8789144050104385
11443.375158138859,7555,7.886221294363256
11652.881445450417,7322,7.643006263048017
11862.387732761974,7334,7.65553235908142
12071.89402007353,7261,7.579331941544885
12281.400307385087,7596,7.92901878914405
12490.906594696644,7572,7.903966597077244
12700.4128820082,7900,8.24634655532359
12909.919169319757,7915,8.262004175365345
13119.425456631316,8268,8.630480167014614
13328.931743942872,8837,9.224425887265136
13538.438031254429,8718,9.100208768267223
13747.944318565986,8972,9.365344467640918
13957.450605877542,8947,9.339248434237996
14166.956893189099,8549,8.923799582463465
14376.463180500656,8838,9.225469728601253
14585.969467812212,9160,9.561586638830898
14795.475755123769,9678,10.102296450939457
15004.982042435327,9316,9.724425887265136
15214.488329746884,8748,9.13152400835073
15423.99461705844,7932,8.279749478079331
15633.500904369997,7268,7.586638830897703
15843.007191681554,7045,7.353862212943633
16052.51347899311,7006,7.313152400835073
16262.019766304667,6802,7.1002087682672235
16471.526053616224,7069,7.3789144050104385
16681.03234092778,7317,7.637787056367432
16890.538628239337,7208,7.524008350730689
17100.044915550894,7376,7.69937369519833
17309.55120286245,7345,7.667014613778706
17519.057490174007,7068,7.377870563674321
17728.563777485564,6308,6.5845511482254695
17938.07006479712,5245,5.474947807933194
18147.576352108677,4931,5.1471816283924845
18357.082639420234,4970,5.187891440501044
18566.58892673179,4774,4.98329853862213
18776.095214043347,4382,4.5741127348643005
18985.601501354908,3897,4.067849686847599
19195.107788666464,3330,3.4759916492693113
19404.61407597802,3263,3.406054279749478
19614.120363289578,3209,3.349686847599165
19823.626650601134,2560,2.67223382045929
20033.13293791269,2066,2.1565762004175366
20242.639225224248,1283,1.3392484342379958
20452.145512535804,597,0.6231732776617954
20661.65179984736,141,0.14718162839248433
20871.158087158918,25,0.026096033402922755
21080.664374470474,6,0.006263048016701462
21290.17066178203,2,0.0020876826722338203
