State,Device,Median [cnts.],Mean [cnts.],Std. Dev. [cnts.]
init,P08,6013.57889938661,6951.879784097872,5376.591915726452
init,P04,4647.77451155785,4011.032488324465,2398.327520301567
init,P06,7310.5254950924955,7699.609584274763,5600.941829670702
init,P29,1648.8107487002349,3925.490605173688,4563.541731598863
init,P25,1296.9041557107785,2338.9615750960243,2136.8816896774997
init,P24,1518.458247619457,2484.4029862168554,2045.3550699094067
init,P02,4624.6974926363455,4050.672290135801,2492.667989066163
init,P01,3709.58526416489,3523.733363789923,2288.388062332566
init,P44,1323.5387415981054,2965.819250929048,3474.2033328399584
init,P26,1513.6977358617958,2479.1875606533763,2045.1642236493092
init,P07,7370.86071922121,8340.720097330595,6405.010897247822
init,P05,4251.037197563991,5660.38218820507,4695.343017993028
init,P23,1346.43944158596,2454.8843906404454,2242.161358121967
init,P28,1544.162892141032,3270.511052832922,3433.272136824379
init,P03,3881.6267017960354,3763.917508596328,2464.886241727669
init,P27,1275.3688275275692,2798.5653224084936,3120.321980094988
fired,P29,1708.4632100337644,3592.987320133664,3846.527088389089
fired,P03,3897.80096891545,3961.224876876781,2682.0831258487124
fired,P08,3282.194284724799,4299.6214566377475,3588.028257925029
fired,P06,4455.8309575696985,5300.584807148435,4041.518176391951
fired,P25,1285.2274369621707,2334.808435067649,2158.917436624146
fired,P05,2690.356222060389,3749.2107365680204,3161.672777730973
fired,P07,6794.619404333213,7769.888104863612,5844.628535599181
fired,P04,4128.706194260287,3762.1638864158754,2377.335097810169
fired,P26,1409.95995369167,2399.789135450907,2059.1583121979806
fired,P02,4967.222298663702,4431.304175167696,2797.7771947095
fired,P23,1466.4321819965069,2790.846343991705,2654.742770989743
fired,P24,1199.5277262818695,2423.592412390294,2456.213344222296
fired,P28,1117.9867049029176,2051.401362517026,2047.4645529792977
fired,P01,4187.862560431482,4116.028830368588,2768.82028363025
fired,P44,1372.639625091488,2785.014204916547,3082.742801336235
fired,P27,809.5947246923924,1557.3423976678491,1657.036514905058
diff,P24,-1.2203009810269172,-7.8258559202207385,33.09861292043893
diff,P08,-35.660725086602234,-34.82556018041546,19.06861148773362
diff,P07,-1.4980981066149983,-1.7889861790512478,15.763844066149751
diff,P28,-27.865551344950454,-29.197615360072504,16.026400539890304
diff,P03,4.951927442316282,4.829159673817288,17.172358370453843
diff,P44,1.2327822727807698,1.9026849909558887,20.20690692790174
diff,P04,-7.312994702038819,-7.538439936063973,14.657499382551915
diff,P01,16.018786610859276,15.377717689364493,17.13481637709934
diff,P26,-5.809283741944732,-5.038445040442613,13.894731660336753
diff,P05,-27.608543342949943,0.2046366149656155,1940.0572836638778
diff,P27,-33.98468660386269,-35.37304185676611,18.374624290283947
diff,P25,-1.2527173538349903,0.18915314805192734,19.86692978438309
diff,P06,-26.733424736688892,-27.853903764813687,14.95077694799838
diff,P29,0.5943037087415894,1.5524788409567134,23.307330154058956
diff,P23,10.047703813916527,10.564952905338139,12.180407646228238
diff,P02,8.562695075027682,8.628364034449444,15.044692276703532
